data,venda,estoque,preco,year,month,day,weekday,venda_7day_avg,category,store,region
2014-01-01,0,4972,1.29,2014,1,1,Wednesday,0.0,Personal Care,Store C,North
2014-01-02,70,4902,1.29,2014,1,2,Thursday,35.0,Beverages,Store C,North
2014-01-03,59,4843,1.29,2014,1,3,Friday,43.0,Personal Care,Store A,North
2014-01-04,93,4750,1.29,2014,1,4,Saturday,55.5,Personal Care,Store B,North
2014-01-05,96,4654,1.29,2014,1,5,Sunday,63.6,Beverages,Store B,South
2014-01-06,145,4509,1.29,2014,1,6,Monday,77.16666666666667,Beverages,Store B,South
2014-01-07,179,4329,1.29,2014,1,7,Tuesday,91.71428571428571,Personal Care,Store C,East
2014-01-08,321,4104,1.29,2014,1,8,Wednesday,137.57142857142858,Snacks,Store C,East
2014-01-09,125,4459,1.09,2014,1,9,Thursday,145.42857142857142,Personal Care,Store C,South
2014-01-10,88,5043,1.09,2014,1,10,Friday,149.57142857142858,Personal Care,Store A,South
2014-01-11,188,5239,1.09,2014,1,11,Saturday,163.14285714285714,Personal Care,Store C,North
2014-01-12,121,5118,1.09,2014,1,12,Sunday,166.71428571428572,Personal Care,Store A,North
2014-01-13,134,4984,1.09,2014,1,13,Monday,165.14285714285714,Beverages,Store B,East
2014-01-14,80,4904,1.09,2014,1,14,Tuesday,151.0,Personal Care,Store C,South
2014-01-15,82,4822,1.09,2014,1,15,Wednesday,116.85714285714286,Snacks,Store A,East
2014-01-16,94,4728,1.19,2014,1,16,Thursday,112.42857142857143,Beverages,Store A,South
2014-01-18,159,4464,1.19,2014,1,18,Saturday,122.57142857142857,Snacks,Store C,North
2014-01-19,199,4265,1.19,2014,1,19,Sunday,124.14285714285714,Snacks,Store B,East
2014-01-20,104,4161,1.19,2014,1,20,Monday,121.71428571428571,Snacks,Store B,East
2014-01-21,70,4091,1.19,2014,1,21,Tuesday,112.57142857142857,Snacks,Store B,South
2014-01-22,127,3964,1.09,2014,1,22,Wednesday,119.28571428571429,Beverages,Store A,North
2014-01-23,96,3868,1.09,2014,1,23,Thursday,121.28571428571429,Beverages,Store A,East
2014-01-24,75,3793,1.09,2014,1,24,Friday,118.57142857142857,Snacks,Store A,North
2014-01-25,198,3595,1.09,2014,1,25,Saturday,124.14285714285714,Snacks,Store A,East
2014-01-26,168,3427,1.09,2014,1,26,Sunday,119.71428571428571,Beverages,Store B,North
2014-01-27,125,3302,1.09,2014,1,27,Monday,122.71428571428571,Beverages,Store C,South
2014-01-28,86,3216,1.09,2014,1,28,Tuesday,125.0,Beverages,Store A,East
2014-01-29,222,2994,0.99,2014,1,29,Wednesday,138.57142857142858,Personal Care,Store A,East
2014-01-30,272,2723,0.99,2014,1,30,Thursday,163.71428571428572,Personal Care,Store B,North
2014-01-31,209,2514,0.99,2014,1,31,Friday,182.85714285714286,Personal Care,Store C,North
2014-02-01,369,2145,0.99,2014,2,1,Saturday,207.28571428571428,Snacks,Store C,East
2014-02-02,217,1928,0.99,2014,2,2,Sunday,214.28571428571428,Personal Care,Store B,South
2014-02-03,97,1831,0.99,2014,2,3,Monday,210.28571428571428,Snacks,Store B,North
2014-02-04,117,1714,0.99,2014,2,4,Tuesday,214.71428571428572,Snacks,Store C,North
2014-02-05,100,1998,1.29,2014,2,5,Wednesday,197.28571428571428,Personal Care,Store A,North
2014-02-06,64,2126,1.29,2014,2,6,Thursday,167.57142857142858,Snacks,Store C,East
2014-02-07,35,2091,1.29,2014,2,7,Friday,142.71428571428572,Personal Care,Store B,East
2014-02-08,54,2037,1.29,2014,2,8,Saturday,97.71428571428571,Personal Care,Store A,East
2014-02-09,55,1982,1.29,2014,2,9,Sunday,74.57142857142857,Beverages,Store A,East
2014-02-12,8,7228,1.29,2014,2,12,Wednesday,61.857142857142854,Personal Care,Store B,South
2014-02-13,43,7185,1.09,2014,2,13,Thursday,51.285714285714285,Beverages,Store B,South
2014-02-14,107,7078,1.09,2014,2,14,Friday,52.285714285714285,Personal Care,Store B,East
2014-02-15,116,6962,1.09,2014,2,15,Saturday,59.714285714285715,Personal Care,Store C,South
2014-02-16,87,6875,1.09,2014,2,16,Sunday,67.14285714285714,Beverages,Store C,North
2014-02-17,66,6809,1.09,2014,2,17,Monday,68.85714285714286,Beverages,Store A,North
2014-02-18,44,6765,1.09,2014,2,18,Tuesday,67.28571428571429,Personal Care,Store B,North
2014-02-19,33,6731,1.09,2014,2,19,Wednesday,70.85714285714286,Snacks,Store A,East
2014-02-20,13,6718,1.09,2014,2,20,Thursday,66.57142857142857,Beverages,Store A,North
2014-02-21,53,6665,1.09,2014,2,21,Friday,58.857142857142854,Snacks,Store A,South
2014-02-22,72,6593,1.09,2014,2,22,Saturday,52.57142857142857,Snacks,Store A,East
2014-02-23,50,6543,1.09,2014,2,23,Sunday,47.285714285714285,Snacks,Store B,South
2014-02-24,15,6528,1.09,2014,2,24,Monday,40.0,Beverages,Store A,North
2014-02-25,12,6516,1.09,2014,2,25,Tuesday,35.42857142857143,Snacks,Store B,North
2014-02-26,71,6445,1.09,2014,2,26,Wednesday,40.857142857142854,Beverages,Store B,North
